	Name	Min probability	Iterations	# Simulations	
3.2072962918516754E-17	virus_prop F<=#20.0 s11 = 2.0	3.2072962918516754E-17	15	1499486	
1.2364362534616584E-15	virus_prop F<=#25.0 s11 = 2.0	1.2364362534616584E-15	15	1499486	
1.1879214021099E-14	virus_prop F<=#30.0 s11 = 2.0	1.1879214021099E-14	15	1499486	
6.775786748288494E-14	virus_prop F<=#35.0 s11 = 2.0	6.775786748288494E-14	15	1499486	
2.8620991135246234E-13	virus_prop F<=#40.0 s11 = 2.0	2.8620991135246234E-13	15	1499486	
9.281771506583442E-13	virus_prop F<=#45.0 s11 = 2.0	9.281771506583442E-13	15	1499486	
2.5907479700560175E-12	virus_prop F<=#50.0 s11 = 2.0	2.5907479700560175E-12	15	1499486	
6.834484721510075E-12	virus_prop F<=#55.0 s11 = 2.0	6.834484721510075E-12	15	1499486	
1.4794502205924218E-11	virus_prop F<=#60.0 s11 = 2.0	1.4794502205924218E-11	15	1499486	
2.9691624878702284E-11	virus_prop F<=#65.0 s11 = 2.0	2.9691624878702284E-11	15	1499486	
5.609886529790329E-11	virus_prop F<=#70.0 s11 = 2.0	5.609886529790329E-11	15	1499486	
1.0880375278853485E-10	virus_prop F<=#75.0 s11 = 2.0	1.0880375278853485E-10	15	1499486	
1.860719643649538E-10	virus_prop F<=#80.0 s11 = 2.0	1.860719643649538E-10	15	1499486	
2.87374324901572E-10	virus_prop F<=#85.0 s11 = 2.0	2.87374324901572E-10	15	1499486	
4.633234821234498E-10	virus_prop F<=#90.0 s11 = 2.0	4.633234821234498E-10	15	1499486	
6.388059747384897E-10	virus_prop F<=#95.0 s11 = 2.0	6.388059747384897E-10	15	1499486	
8.809165468849514E-10	virus_prop F<=#100.0 s11 = 2.0	8.809165468849514E-10	15	1499486	
